Set Voltage (V),Applied vol. across circuit (V),Vol. across LED (V),Current (A)
0.0,0.011,0.011,0.0
0.098,0.103,0.105,0.0
0.196,0.198,0.198,-0.0002
0.294,0.285,0.288,0.0
0.392,0.382,0.382,0.0
0.49,0.473,0.479,0.0
0.588,0.583,0.572,-0.0012000000000000001
0.686,0.671,0.663,-0.0002
0.784,0.821,0.786,-0.0016
0.882,0.894,0.934,-0.0012
1.0,1.054,1.013,-0.0014000000000000002
1.098,1.083,1.101,-0.0018
1.196,1.241,1.241,-0.0008
1.294,1.326,1.314,-0.0012000000000000001
1.392,1.429,1.428,-0.0012
1.49,1.506,1.507,-0.0013999999999999998
1.588,1.593,1.618,-0.0008
1.686,1.717,1.688,0.032400000000000005
1.784,1.792,1.793,0.1378
1.882,1.89,1.847,0.4052
2.0,1.981,1.86,0.8987999999999998
2.098,2.048,1.908,1.3596000000000001
2.196,2.058,1.926,1.838
2.294,2.178,1.942,2.3221999999999996
2.392,2.245,1.951,2.8316
2.49,2.31,1.969,3.358
2.588,2.335,1.981,3.8743999999999996
2.686,2.411,1.988,4.4026
2.784,2.474,2.003,4.9336
2.882,2.549,2.013,5.466
3.0,2.609,2.023,6.1236
3.098,2.683,2.034,6.6606
3.196,2.747,2.038,7.2096
3.294,2.829,2.052,7.770399999999999
3.392,2.896,2.061,8.3342
3.49,2.956,2.068,8.8736
3.588,3.019,2.077,9.420400000000003
3.686,3.085,2.084,9.9678
3.784,3.142,2.091,10.511199999999999
3.882,3.206,2.098,11.0672
4.0,3.28,2.107,11.7268
4.098,3.347,2.116,12.2784
4.196,3.409,2.121,12.842200000000002
4.294,3.469,2.129,13.407399999999997
4.392,3.532,2.135,13.9452
4.49,3.595,2.142,14.514000000000001
4.588,3.657,2.149,15.066000000000004
4.686,3.72,2.156,15.6326
4.784,3.784,2.164,16.197400000000002
4.882,3.847,2.171,16.7496
5.0,3.922,2.18,17.4062
