Set Voltage (V),Applied vol. across circuit (V),Vol. across LED (V),Current (A)
0.0,0.011,0.01,0.0
0.098,0.105,0.105,0.0
0.196,0.194,0.197,0.0002
0.294,0.288,0.286,0.0
0.392,0.38,0.382,0.0
0.49,0.479,0.479,0.0
0.588,0.581,0.58,-0.0026
0.686,0.678,0.678,-0.0002
0.784,0.823,0.823,-0.0058000000000000005
0.882,0.937,0.881,-0.002
1.0,1.055,1.055,-0.0018
1.098,1.144,1.144,-0.001
1.196,1.197,1.241,-0.0013999999999999998
1.294,1.322,1.338,-0.001
1.392,1.431,1.404,0.0028000000000000004
1.49,1.525,1.47,0.0028000000000000004
1.588,1.579,1.602,0.109
1.686,1.696,1.623,0.4216
1.784,1.767,1.663,0.8693999999999998
1.882,1.845,1.71,1.2944
2.0,1.866,1.73,1.9016
2.098,1.99,1.749,2.3612
2.196,2.024,1.756,2.8577999999999997
2.294,2.111,1.758,3.3657999999999997
2.392,2.172,1.79,3.8594
2.49,2.247,1.791,4.3656
2.588,2.311,1.814,4.904400000000001
2.686,2.374,1.827,5.423800000000001
2.784,2.435,1.838,5.9362
2.882,2.475,1.851,6.48
3.0,2.57,1.862,7.1144
3.098,2.644,1.864,7.648799999999999
3.196,2.707,1.884,8.185400000000001
3.294,2.764,1.894,8.739
3.392,2.833,1.906,9.2804
3.49,2.898,1.915,9.8146
3.588,2.964,1.927,10.358600000000001
3.686,3.023,1.935,10.873200000000002
3.784,3.09,1.944,11.429599999999999
3.882,3.153,1.955,11.946000000000003
4.0,3.229,1.964,12.600999999999999
4.098,3.289,1.974,13.130999999999998
4.196,3.354,1.985,13.704
4.294,3.415,1.992,14.233600000000001
4.392,3.481,2.0,14.792199999999998
4.49,3.545,2.01,15.311799999999998
4.588,3.607,2.02,15.871799999999999
4.686,3.67,2.03,16.406799999999997
4.784,3.735,2.039,16.958000000000002
4.882,3.8,2.048,17.5086
5.0,3.876,2.06,18.156799999999997
