Set Voltage (V),Applied vol. across circuit (V),Vol. across LED (V),Current (A)
0.0,0.006,0.0,0.05259999999999999
0.098,0.075,0.036,0.402
0.196,0.149,0.069,0.7973999999999998
0.294,0.222,0.104,1.1498
0.392,0.291,0.145,1.4404
0.49,0.363,0.178,1.8024
0.588,0.427,0.211,2.2430000000000003
0.686,0.518,0.253,2.6346000000000003
0.784,0.635,0.297,3.2585999999999995
0.882,0.725,0.334,3.6724000000000006
1.0,0.821,0.37,4.1606000000000005
1.098,0.856,0.427,4.4472
1.196,0.902,0.479,4.800800000000001
1.294,1.029,0.509,5.0776
1.392,1.065,0.546,5.4952
1.49,1.126,0.574,5.8268
1.588,1.245,0.626,6.160999999999999
1.686,1.32,0.664,6.507400000000001
1.784,1.395,0.694,6.973400000000002
1.882,1.462,0.708,7.2505999999999995
2.0,1.553,0.777,7.715999999999999
2.098,1.623,0.785,8.07
2.196,1.67,0.849,8.431799999999999
2.294,1.74,0.868,8.8526
2.392,1.827,0.917,9.2274
2.49,1.897,0.953,9.597199999999999
2.588,1.989,0.988,9.953600000000002
2.686,2.062,1.022,10.3212
2.784,2.109,1.061,10.698400000000001
2.882,2.209,1.099,11.060400000000001
3.0,2.253,1.143,11.505999999999998
3.098,2.338,1.179,11.891399999999999
3.196,2.419,1.217,12.2464
3.294,2.52,1.252,12.635
3.392,2.594,1.291,13.023199999999997
3.49,2.668,1.328,13.3902
3.588,2.743,1.364,13.770199999999997
3.686,2.818,1.402,14.1208
3.784,2.889,1.439,14.4838
3.882,2.966,1.476,14.871199999999998
4.0,3.054,1.52,15.299199999999995
4.098,3.129,1.557,15.688200000000002
4.196,3.199,1.594,16.051199999999998
4.294,3.276,1.632,16.4396
4.392,3.351,1.667,16.804599999999997
4.49,3.427,1.705,17.162999999999997
4.588,3.498,1.743,17.541399999999996
4.686,3.575,1.78,17.927799999999998
4.784,3.649,1.818,18.301199999999998
4.882,3.725,1.856,18.6768
5.0,3.815,1.9,19.1252
