Set Voltage (V),Applied vol. across circuit (V),Vol. across LED (V),Current (A)
0.0,0.01,0.01,0.0
0.098,0.106,0.105,0.0
0.196,0.196,0.198,0.0
0.294,0.284,0.288,0.0
0.392,0.378,0.382,0.0
0.49,0.479,0.47,0.0
0.588,0.582,0.583,-0.0022
0.686,0.678,0.669,0.0
0.784,0.778,0.809,-0.0022
0.882,0.895,0.935,-0.0012000000000000001
1.0,1.055,1.054,-0.0002
1.098,1.085,1.086,-0.0015999999999999999
1.196,1.241,1.177,-0.0016
1.294,1.337,1.299,-0.0028000000000000004
1.392,1.429,1.428,-0.0014000000000000002
1.49,1.525,1.484,-0.0006
1.588,1.618,1.58,0.0038000000000000004
1.686,1.711,1.698,0.12240000000000001
1.784,1.767,1.755,0.39380000000000004
1.882,1.873,1.755,0.8094
2.0,1.954,1.814,1.3548000000000002
2.098,2.023,1.837,1.8160000000000003
2.196,2.087,1.84,2.3019999999999996
2.294,2.112,1.867,2.7804000000000006
2.392,2.216,1.881,3.3164
2.49,2.269,1.893,3.8082
2.588,2.33,1.899,4.3452
2.686,2.378,1.917,4.886
2.784,2.473,1.93,5.3798
2.882,2.522,1.94,5.913800000000001
3.0,2.614,1.952,6.573000000000002
3.098,2.677,1.962,7.1061999999999985
3.196,2.732,1.971,7.6268
3.294,2.801,1.982,8.2142
3.392,2.868,1.993,8.7502
3.49,2.931,2.001,9.293199999999999
3.588,2.992,2.011,9.8146
3.686,3.056,2.02,10.363999999999999
3.784,3.119,2.028,10.906199999999998
3.882,3.181,2.036,11.455400000000003
4.0,3.259,2.047,12.097999999999999
4.098,3.32,2.055,12.6544
4.196,3.386,2.063,13.197800000000003
4.294,3.446,2.07,13.7586
4.392,3.509,2.078,14.311599999999999
4.49,3.572,2.089,14.841400000000004
4.588,3.636,2.096,15.401399999999999
4.686,3.7,2.105,15.945600000000002
4.784,3.763,2.112,16.5098
4.882,3.828,2.121,17.057199999999998
5.0,3.904,2.131,17.709600000000005
